OMIM:116700	Dominant
OMIM:116790	Recessive
OMIM:116800	Dominant
OMIM:116850	Dominant
OMIM:116860	Dominant
OMIM:116870	Dominant
OMIM:116920	Recessive
OMIM:117000	Dominant
OMIM:117100	Others
OMIM:117210	Dominant
OMIM:117300	Dominant
OMIM:117360	Dominant
OMIM:117550	Dominant
OMIM:117600	Dominant
OMIM:117650	Dominant
OMIM:117800	Dominant
OMIM:117850	Dominant
OMIM:117900	Dominant
OMIM:118000	Dominant
OMIM:118005	Dominant
OMIM:118100	Dominant
OMIM:118200	Dominant
OMIM:118210	Dominant
OMIM:118220	Dominant
OMIM:118230	Dominant
OMIM:118300	Dominant
OMIM:118301	Dominant
OMIM:118330	Dominant
OMIM:118350	Dominant
OMIM:118400	Dominant
OMIM:118420	Dominant
OMIM:118430	Dominant
OMIM:118450	Dominant
OMIM:118600	Dominant
OMIM:118610	Dominant
OMIM:118650	Dominant
OMIM:118651	Dominant
OMIM:118700	Dominant
OMIM:118750	Dominant
OMIM:118800	Dominant
OMIM:118830	Dominant
OMIM:118865	Dominant
OMIM:118980	Dominant
OMIM:119000	Dominant
OMIM:119100	Dominant
OMIM:119300	Dominant
OMIM:119500	Dominant
OMIM:119530	Dominant
OMIM:119540	Dominant
OMIM:119550	Dominant
OMIM:119570	Dominant
OMIM:119580	Dominant
OMIM:119600	Dominant
OMIM:119650	Dominant
OMIM:119800	Dominant
OMIM:119900	Dominant
OMIM:119915	Dominant
OMIM:120040	Dominant
OMIM:120100	Dominant
OMIM:120200	Dominant
OMIM:120300	Dominant
OMIM:120330	Dominant
OMIM:120400	Dominant
OMIM:120430	Dominant
OMIM:120433	Dominant
OMIM:120435	Dominant
OMIM:120440	Dominant
OMIM:120450	Dominant
OMIM:120500	Dominant
OMIM:120502	Dominant
OMIM:120790	Dominant
OMIM:120970	Dominant
OMIM:121050	Dominant
OMIM:121070	Dominant
OMIM:121200	Dominant
OMIM:121201	Dominant
OMIM:121210	Dominant
OMIM:121300	Dominant
OMIM:121350	Dominant
OMIM:121390	Dominant
OMIM:121400	Dominant
OMIM:121450	Dominant
OMIM:121800	Dominant
OMIM:121820	Dominant
OMIM:121850	Dominant
OMIM:121900	Dominant
OMIM:122000	Dominant
OMIM:122100	Dominant
OMIM:122200	Dominant
OMIM:122400	Dominant
OMIM:122430	Dominant
OMIM:122440	Dominant
OMIM:122450	Dominant
OMIM:122455	Dominant
OMIM:122460	Dominant
OMIM:122470	Dominant
OMIM:122580	Dominant
OMIM:122600	Dominant
OMIM:122700	Dominant
OMIM:122750	Dominant
OMIM:122850	Dominant
OMIM:122860	Dominant
OMIM:122880	Dominant
OMIM:122900	Dominant
OMIM:123000	Dominant
OMIM:123050	Dominant
OMIM:123100	Dominant
OMIM:123150	Dominant
OMIM:123155	Dominant
OMIM:123320	Dominant
OMIM:123400	Dominant
OMIM:123450	Others
OMIM:123500	Dominant
OMIM:123540	Dominant
OMIM:123550	Dominant
OMIM:123557	Dominant
OMIM:123560	Dominant
OMIM:123570	Dominant
OMIM:123700	Dominant
OMIM:123790	Dominant
OMIM:123880	Dominant
OMIM:124000	Recessive
OMIM:124060	Dominant
OMIM:124200	Dominant
OMIM:124300	Dominant
OMIM:124400	Dominant
OMIM:124480	Dominant
OMIM:124490	Dominant
OMIM:124500	Dominant
OMIM:124700	Dominant
OMIM:124900	Dominant
OMIM:124950	Dominant
OMIM:125000	Dominant
OMIM:125050	Dominant
OMIM:125230	Dominant
OMIM:125250	Dominant
OMIM:125260	Dominant
OMIM:125280	Dominant
OMIM:125300	Dominant
OMIM:125310	Dominant
OMIM:125320	Dominant
OMIM:125350	Dominant
OMIM:125370	Dominant
OMIM:125400	Dominant
OMIM:125420	Dominant
OMIM:125440	Dominant
OMIM:125480	Dominant
OMIM:125490	Dominant
OMIM:125500	Dominant
OMIM:125520	Dominant
OMIM:125530	Dominant
OMIM:125540	Dominant
OMIM:125550	Dominant
OMIM:125570	Dominant
OMIM:125590	Dominant
OMIM:125595	Dominant
OMIM:125630	Dominant
OMIM:125635	Dominant
OMIM:125640	Dominant
OMIM:125700	Dominant
OMIM:125800	Dominant
OMIM:125850	Dominant
OMIM:125851	Dominant
OMIM:125852	Dominant
OMIM:125853	Dominant
OMIM:125900	Dominant
OMIM:126050	Dominant
OMIM:126070	Dominant
OMIM:126100	Dominant
